0001F	Heart failure assessed
42961	Control throat bleeding
42962	Control throat bleeding
42970	Control nose/throat bleeding
42971	Control nose/throat bleeding
42972	Control nose/throat bleeding
42999	Throat surgery procedure
43020	Incision of esophagus
43030	Throat muscle surgery
43045	Incision of esophagus
43100	Excision of esophagus lesion
43101	Excision of esophagus lesion
43107	Removal of esophagus
43108	Removal of esophagus
43112	Removal of esophagus
43113	Removal of esophagus
43116	Partial removal of esophagus
43117	Partial removal of esophagus
43118	Partial removal of esophagus
43121	Partial removal of esophagus
43122	Partial removal of esophagus
43123	Partial removal of esophagus
43124	Removal of esophagus
43130	Removal of esophagus pouch
43135	Removal of esophagus pouch
43200	Esophagus endoscopy
43201	Esoph scope w/submucous inj
43202	Esophagus endoscopy, biopsy
43204	Esoph scope w/sclerosis inj
43205	Esophagus endoscopy/ligation
43215	Esophagus endoscopy
43216	Esophagus endoscopy/lesion
43217	Esophagus endoscopy
43219	Esophagus endoscopy
43220	Esoph endoscopy, dilation
43226	Esoph endoscopy, dilation
43227	Esoph endoscopy, repair
43228	Esoph endoscopy, ablation
43231	Esoph endoscopy w/us exam
43232	Esoph endoscopy w/us fn bx
43234	Upper GI endoscopy, exam
43235	Uppr gi endoscopy, diagnosis
43236	Uppr gi scope w/submuc inj
43237	Endoscopic us exam, esoph
43238	Uppr gi endoscopy w/us fn bx
43239	Upper GI endoscopy, biopsy
43240	Esoph endoscope w/drain cyst
43241	Upper GI endoscopy with tube
43242	Uppr gi endoscopy w/us fn bx
43243	Upper gi endoscopy & inject
43244	Upper GI endoscopy/ligation
43245	Uppr gi scope dilate strictr
43246	Place gastrostomy tube
43247	Operative upper GI endoscopy
43248	Uppr gi endoscopy/guide wire
43249	Esoph endoscopy, dilation
43250	Upper GI endoscopy/tumor
43251	Operative upper GI endoscopy
43255	Operative upper GI endoscopy
43256	Uppr gi endoscopy w/stent
43257	Uppr gi scope w/thrml txmnt
43258	Operative upper GI endoscopy
43259	Endoscopic ultrasound exam
43260	Endo cholangiopancreatograph
43261	Endo cholangiopancreatograph
43262	Endo cholangiopancreatograph
43263	Endo cholangiopancreatograph
43264	Endo cholangiopancreatograph
43265	Endo cholangiopancreatograph
43267	Endo cholangiopancreatograph
43268	Endo cholangiopancreatograph
43269	Endo cholangiopancreatograph
43271	Endo cholangiopancreatograph
43272	Endo cholangiopancreatograph
43280	Laparoscopy, fundoplasty
43289	Laparoscope proc, esoph
43300	Repair of esophagus
43305	Repair esophagus and fistula
43310	Repair of esophagus
43312	Repair esophagus and fistula
43313	Esophagoplasty congenital
43314	Tracheo-esophagoplasty cong
43320	Fuse esophagus & stomach
43324	Revise esophagus & stomach
43325	Revise esophagus & stomach
43326	Revise esophagus & stomach
43330	Repair of esophagus
43331	Repair of esophagus
43340	Fuse esophagus & intestine
43341	Fuse esophagus & intestine
43350	Surgical opening, esophagus
43351	Surgical opening, esophagus
43352	Surgical opening, esophagus
43360	Gastrointestinal repair
43361	Gastrointestinal repair
43400	Ligate esophagus veins
43401	Esophagus surgery for veins
43405	Ligate/staple esophagus
43410	Repair esophagus wound
43415	Repair esophagus wound
43420	Repair esophagus opening
43425	Repair esophagus opening
43450	Dilate esophagus
43453	Dilate esophagus
43456	Dilate esophagus
43458	Dilate esophagus
43460	Pressure treatment esophagus
43496	Free jejunum flap, microvasc
43499	Esophagus surgery procedure
43500	Surgical opening of stomach
43501	Surgical repair of stomach
43502	Surgical repair of stomach
43510	Surgical opening of stomach
43520	Incision of pyloric muscle
43600	Biopsy of stomach
43605	Biopsy of stomach
43610	Excision of stomach lesion
43611	Excision of stomach lesion
43620	Removal of stomach
43621	Removal of stomach
43622	Removal of stomach
43631	Removal of stomach, partial
43632	Removal of stomach, partial
43633	Removal of stomach, partial
43634	Removal of stomach, partial
43635	Removal of stomach, partial
43640	Vagotomy & pylorus repair
43641	Vagotomy & pylorus repair
43644	Lap gastric bypass/roux-en-y
43645	Lap gastr bypass incl smll i
43651	Laparoscopy, vagus nerve
43652	Laparoscopy, vagus nerve
43653	Laparoscopy, gastrostomy
43659	Laparoscope proc, stom
43750	Place gastrostomy tube
43752	Nasal/orogastric w/stent
43760	Change gastrostomy tube
43761	Reposition gastrostomy tube
43770	Lap, place gastr adjust band
43771	Lap, revise adjust gast band
43772	Lap, remove adjust gast band
43773	Lap, change adjust gast band
43774	Lap remov adj gast band/port
43800	Reconstruction of pylorus
43810	Fusion of stomach and bowel
43820	Fusion of stomach and bowel
43825	Fusion of stomach and bowel
43830	Place gastrostomy tube
43831	Place gastrostomy tube
43832	Place gastrostomy tube
43840	Repair of stomach lesion
43842	V-band gastroplasty
43843	Gastroplasty w/o v-band
43845	Gastroplasty duodenal switch
43846	Gastric bypass for obesity
43847	Gastric bypass incl small i
43848	Revision gastroplasty
43850	Revise stomach-bowel fusion
43855	Revise stomach-bowel fusion
43860	Revise stomach-bowel fusion
43865	Revise stomach-bowel fusion
43870	Repair stomach opening
43880	Repair stomach-bowel fistula
43886	Revise gastric port, open
43887	Remove gastric port, open
43888	Change gastric port, open
43999	Stomach surgery procedure
44005	Freeing of bowel adhesion
44010	Incision of small bowel
44015	Insert needle cath bowel
44020	Explore small intestine
44021	Decompress small bowel
44025	Incision of large bowel
44050	Reduce bowel obstruction
44055	Correct malrotation of bowel
44100	Biopsy of bowel
44110	Excise intestine lesion(s)
44111	Excision of bowel lesion(s)
44120	Removal of small intestine
44121	Removal of small intestine
44125	Removal of small intestine
44126	Enterectomy w/o taper, cong
44127	Enterectomy w/taper, cong
44128	Enterectomy cong, add-on
44130	Bowel to bowel fusion
44132	Enterectomy, cadaver donor
44133	Enterectomy, live donor
44135	Intestine transplnt, cadaver
44136	Intestine transplant, live
44137	Remove intestinal allograft
44139	Mobilization of colon
44140	Partial removal of colon
44141	Partial removal of colon
44143	Partial removal of colon
44144	Partial removal of colon
44145	Partial removal of colon
44146	Partial removal of colon
44147	Partial removal of colon
44150	Removal of colon
44151	Removal of colon/ileostomy
44152	Removal of colon/ileostomy
44153	Removal of colon/ileostomy
44155	Removal of colon/ileostomy
44156	Removal of colon/ileostomy
44160	Removal of colon
44180	Lap, enterolysis
44186	Lap, jejunostomy
44187	Lap, ileo/jejuno-stomy
44188	Lap, colostomy
44202	Lap, enterectomy
44203	Lap resect s/intestine, addl
44204	Laparo partial colectomy
44205	Lap colectomy part w/ileum
44206	Lap part colectomy w/stoma
44207	L colectomy/coloproctostomy
44208	L colectomy/coloproctostomy
44210	Laparo total proctocolectomy
44211	Laparo total proctocolectomy
44212	Laparo total proctocolectomy
44213	Lap, mobil splenic fl add-on
44227	Lap, close enterostomy
44238	Laparoscope proc, intestine
44300	Open bowel to skin
44310	Ileostomy/jejunostomy
44312	Revision of ileostomy
44314	Revision of ileostomy
44316	Devise bowel pouch
44320	Colostomy
44322	Colostomy with biopsies
44340	Revision of colostomy
44345	Revision of colostomy
44346	Revision of colostomy
44360	Small bowel endoscopy
44361	Small bowel endoscopy/biopsy
44363	Small bowel endoscopy
44364	Small bowel endoscopy
44365	Small bowel endoscopy
44366	Small bowel endoscopy
44369	Small bowel endoscopy
44370	Small bowel endoscopy/stent
44372	Small bowel endoscopy
44373	Small bowel endoscopy
44376	Small bowel endoscopy
44377	Small bowel endoscopy/biopsy
44378	Small bowel endoscopy
44379	S bowel endoscope w/stent
44380	Small bowel endoscopy
44382	Small bowel endoscopy
44383	Ileoscopy w/stent
44385	Endoscopy of bowel pouch
44386	Endoscopy, bowel pouch/biop
44388	Colonoscopy
44389	Colonoscopy with biopsy
44390	Colonoscopy for foreign body
44391	Colonoscopy for bleeding
44392	Colonoscopy & polypectomy
44393	Colonoscopy, lesion removal
44394	Colonoscopy w/snare
44397	Colonoscopy w/stent
44500	Intro, gastrointestinal tube
44602	Suture, small intestine
44603	Suture, small intestine
44604	Suture, large intestine
44605	Repair of bowel lesion
44615	Intestinal stricturoplasty
44620	Repair bowel opening
44625	Repair bowel opening
44626	Repair bowel opening
44640	Repair bowel-skin fistula
44650	Repair bowel fistula
44660	Repair bowel-bladder fistula
44661	Repair bowel-bladder fistula
44680	Surgical revision, intestine
44700	Suspend bowel w/prosthesis
44701	Intraop colon lavage add-on
44715	Prepare donor intestine
44720	Prep donor intestine/venous
44721	Prep donor intestine/artery
44799	Unlisted procedure intestine
44800	Excision of bowel pouch
44820	Excision of mesentery lesion
44850	Repair of mesentery
44899	Bowel surgery procedure
44900	Drain app abscess, open
44901	Drain app abscess, percut
44950	Appendectomy
44955	Appendectomy add-on
44960	Appendectomy
44970	Laparoscopy, appendectomy
44979	Laparoscope proc, app
45000	Drainage of pelvic abscess
45005	Drainage of rectal abscess
45020	Drainage of rectal abscess
45100	Biopsy of rectum
45108	Removal of anorectal lesion
45110	Removal of rectum
45111	Partial removal of rectum
45112	Removal of rectum
45113	Partial proctectomy
45114	Partial removal of rectum
45116	Partial removal of rectum
45119	Remove rectum w/reservoir
45120	Removal of rectum
45121	Removal of rectum and colon
45123	Partial proctectomy
45126	Pelvic exenteration
45130	Excision of rectal prolapse
45135	Excision of rectal prolapse
45136	Excise ileoanal reservior
45150	Excision of rectal stricture
45160	Excision of rectal lesion
45170	Excision of rectal lesion
45190	Destruction, rectal tumor
45300	Proctosigmoidoscopy dx
45303	Proctosigmoidoscopy dilate
45305	Proctosigmoidoscopy w/bx
45307	Proctosigmoidoscopy fb
45308	Proctosigmoidoscopy removal
45309	Proctosigmoidoscopy removal
45315	Proctosigmoidoscopy removal
45317	Proctosigmoidoscopy bleed
45320	Proctosigmoidoscopy ablate
45321	Proctosigmoidoscopy volvul
45327	Proctosigmoidoscopy w/stent
45330	Diagnostic sigmoidoscopy
45331	Sigmoidoscopy and biopsy
45332	Sigmoidoscopy w/fb removal
45333	Sigmoidoscopy & polypectomy
45334	Sigmoidoscopy for bleeding
45335	Sigmoidoscopy w/submuc inj
45337	Sigmoidoscopy & decompress
45338	Sigmoidoscopy w/tumr remove
45339	Sigmoidoscopy w/ablate tumr
45340	Sig w/balloon dilation
45341	Sigmoidoscopy w/ultrasound
45342	Sigmoidoscopy w/us guide bx
45345	Sigmoidoscopy w/stent
45355	Surgical colonoscopy
45378	Diagnostic colonoscopy
45378	Diagnostic colonoscopy
45379	Colonoscopy w/fb removal
45380	Colonoscopy and biopsy
45381	Colonoscopy, submucous inj
45382	Colonoscopy/control bleeding
45383	Lesion removal colonoscopy
45384	Lesion remove colonoscopy
45385	Lesion removal colonoscopy
45386	Colonoscopy dilate stricture
45387	Colonoscopy w/stent
45391	Colonoscopy w/endoscope us
45392	Colonoscopy w/endoscopic fnb
45395	Lap, removal of rectum
45397	Lap, remove rectum w/pouch
45400	Laparoscopic proctopexy
45402	Lap proctopexy w/sig resect
45499	Laparoscope proc, rectum
45500	Repair of rectum
45505	Repair of rectum
45520	Treatment of rectal prolapse
45540	Correct rectal prolapse
45541	Correct rectal prolapse
45550	Repair rectum/remove sigmoid
45560	Repair of rectocele
45562	Exploration/repair of rectum
45563	Exploration/repair of rectum
45800	Repair rect/bladder fistula
45805	Repair fistula w/colostomy
45820	Repair rectourethral fistula
45825	Repair fistula w/colostomy
45900	Reduction of rectal prolapse
45905	Dilation of anal sphincter
45910	Dilation of rectal narrowing
45915	Remove rectal obstruction
45990	Surg dx exam, anorectal
45999	Rectum surgery procedure
46020	Placement of seton
46030	Removal of rectal marker
46040	Incision of rectal abscess
46045	Incision of rectal abscess
46050	Incision of anal abscess
46060	Incision of rectal abscess
46070	Incision of anal septum
46080	Incision of anal sphincter
46083	Incise external hemorrhoid
46200	Removal of anal fissure
46210	Removal of anal crypt
46211	Removal of anal crypts
46220	Removal of anal tag
46221	Ligation of hemorrhoid(s)
46230	Removal of anal tags
46250	Hemorrhoidectomy
46255	Hemorrhoidectomy
46257	Remove hemorrhoids & fissure
46258	Remove hemorrhoids & fistula
46260	Hemorrhoidectomy
46261	Remove hemorrhoids & fissure
46262	Remove hemorrhoids & fistula
46270	Removal of anal fistula
46275	Removal of anal fistula
46280	Removal of anal fistula
46285	Removal of anal fistula
46288	Repair anal fistula
46320	Removal of hemorrhoid clot
46500	Injection into hemorrhoid(s)
46505	Chemodenervation anal musc
46600	Diagnostic anoscopy
46604	Anoscopy and dilation
46606	Anoscopy and biopsy
46608	Anoscopy, remove for body
46610	Anoscopy, remove lesion
46611	Anoscopy
46612	Anoscopy, remove lesions
46614	Anoscopy, control bleeding
46615	Anoscopy
46700	Repair of anal stricture
46705	Repair of anal stricture
46706	Repr of anal fistula w/glue
46710	Repr per/vag pouch sngl proc
46712	Repr per/vag pouch dbl proc
46715	Rep perf anoper fistu
46716	Rep perf anoper/vestib fistu
46730	Construction of absent anus
46735	Construction of absent anus
46740	Construction of absent anus
46742	Repair of imperforated anus
46744	Repair of cloacal anomaly
46746	Repair of cloacal anomaly
46748	Repair of cloacal anomaly
46750	Repair of anal sphincter
46751	Repair of anal sphincter
46753	Reconstruction of anus
46754	Removal of suture from anus
46760	Repair of anal sphincter
46761	Repair of anal sphincter
46762	Implant artificial sphincter
46900	Destruction, anal lesion(s)
46910	Destruction, anal lesion(s)
46916	Cryosurgery, anal lesion(s)
46917	Laser surgery, anal lesions
46922	Excision of anal lesion(s)
46924	Destruction, anal lesion(s)
46934	Destruction of hemorrhoids
46935	Destruction of hemorrhoids
46936	Destruction of hemorrhoids
46937	Cryotherapy of rectal lesion
46938	Cryotherapy of rectal lesion
46940	Treatment of anal fissure
46942	Treatment of anal fissure
46945	Ligation of hemorrhoids
46946	Ligation of hemorrhoids
46947	Hemorrhoidopexy by stapling
46999	Anus surgery procedure
47000	Needle biopsy of liver
47001	Needle biopsy, liver add-on
47010	Open drainage, liver lesion
47011	Percut drain, liver lesion
47015	Inject/aspirate liver cyst
47100	Wedge biopsy of liver
47120	Partial removal of liver
47122	Extensive removal of liver
47125	Partial removal of liver
47130	Partial removal of liver
47133	Removal of donor liver
47135	Transplantation of liver
47136	Transplantation of liver
47140	Partial removal, donor liver
47141	Partial removal, donor liver
47142	Partial removal, donor liver
47143	Prep donor liver, whole
47144	Prep donor liver, 3-segment
47145	Prep donor liver, lobe split
47146	Prep donor liver/venous
47147	Prep donor liver/arterial
47300	Surgery for liver lesion
47350	Repair liver wound
47360	Repair liver wound
47361	Repair liver wound
47362	Repair liver wound
47370	Laparo ablate liver tumor rf
47371	Laparo ablate liver cryosurg
47379	Laparoscope procedure, liver
47380	Open ablate liver tumor rf
47381	Open ablate liver tumor cryo
47382	Percut ablate liver rf
47399	Liver surgery procedure
47400	Incision of liver duct
47420	Incision of bile duct
47425	Incision of bile duct
47460	Incise bile duct sphincter
47480	Incision of gallbladder
47490	Incision of gallbladder
47500	Injection for liver x-rays
47505	Injection for liver x-rays
47510	Insert catheter, bile duct
47511	Insert bile duct drain
47525	Change bile duct catheter
47530	Revise/reinsert bile tube
47550	Bile duct endoscopy add-on
47552	Biliary endoscopy thru skin
47553	Biliary endoscopy thru skin
47554	Biliary endoscopy thru skin
47555	Biliary endoscopy thru skin
47556	Biliary endoscopy thru skin
47560	Laparoscopy w/cholangio
47561	Laparo w/cholangio/biopsy
47562	Laparoscopic cholecystectomy
47563	Laparo cholecystectomy/graph
47564	Laparo cholecystectomy/explr
47570	Laparo cholecystoenterostomy
47579	Laparoscope proc, biliary
47600	Removal of gallbladder
47605	Removal of gallbladder
47610	Removal of gallbladder
47612	Removal of gallbladder
47620	Removal of gallbladder
47630	Remove bile duct stone
47700	Exploration of bile ducts
47701	Bile duct revision
47711	Excision of bile duct tumor
47712	Excision of bile duct tumor
47715	Excision of bile duct cyst
47716	Fusion of bile duct cyst
47720	Fuse gallbladder & bowel
47721	Fuse upper gi structures
47740	Fuse gallbladder & bowel
47741	Fuse gallbladder & bowel
47760	Fuse bile ducts and bowel
47765	Fuse liver ducts & bowel
47780	Fuse bile ducts and bowel
47785	Fuse bile ducts and bowel
47800	Reconstruction of bile ducts
47801	Placement, bile duct support
47802	Fuse liver duct & intestine
47900	Suture bile duct injury
47999	Bile tract surgery procedure
48000	Drainage of abdomen
48001	Placement of drain, pancreas
48005	Resect/debride pancreas
48020	Removal of pancreatic stone
48100	Biopsy of pancreas, open
48102	Needle biopsy, pancreas
48120	Removal of pancreas lesion
48140	Partial removal of pancreas
48145	Partial removal of pancreas
48146	Pancreatectomy
48148	Removal of pancreatic duct
48150	Partial removal of pancreas
48152	Pancreatectomy
48153	Pancreatectomy
48154	Pancreatectomy
48155	Removal of pancreas
48160	Pancreas removal/transplant
48180	Fuse pancreas and bowel
48400	Injection, intraop add-on
48500	Surgery of pancreatic cyst
48510	Drain pancreatic pseudocyst
48511	Drain pancreatic pseudocyst
48520	Fuse pancreas cyst and bowel
48540	Fuse pancreas cyst and bowel
48545	Pancreatorrhaphy
48547	Duodenal exclusion
48550	Donor pancreatectomy
48551	Prep donor pancreas
48552	Prep donor pancreas/venous
48554	Transpl allograft pancreas
48556	Removal, allograft pancreas
48999	Pancreas surgery procedure
49000	Exploration of abdomen
49002	Reopening of abdomen
49010	Exploration behind abdomen
49020	Drain abdominal abscess
49021	Drain abdominal abscess
49040	Drain, open, abdom abscess
49041	Drain, percut, abdom abscess
49060	Drain, open, retrop abscess
49061	Drain, percut, retroper absc
49062	Drain to peritoneal cavity
49080	Puncture, peritoneal cavity
49081	Removal of abdominal fluid
49085	Remove abdomen foreign body
49180	Biopsy, abdominal mass
49200	Removal of abdominal lesion
49201	Remove abdom lesion, complex
49215	Excise sacral spine tumor
49220	Multiple surgery, abdomen
49250	Excision of umbilicus
49255	Removal of omentum
49320	Diag laparo separate proc
49321	Laparoscopy, biopsy
49322	Laparoscopy, aspiration
49323	Laparo drain lymphocele
49329	Laparo proc, abdm/per/oment
49400	Air injection into abdomen
49419	Insrt abdom cath for chemotx
49420	Insert abdom drain, temp
49421	Insert abdom drain, perm
49422	Remove perm cannula/catheter
49423	Exchange drainage catheter
49424	Assess cyst, contrast inject
49425	Insert abdomen-venous drain
49426	Revise abdomen-venous shunt
49427	Injection, abdominal shunt
49428	Ligation of shunt
49429	Removal of shunt
49491	Rpr hern preemie reduc
49492	Rpr ing hern premie, blocked
49495	Rpr ing hernia baby, reduc
49496	Rpr ing hernia baby, blocked
49500	Rpr ing hernia, init, reduce
49501	Rpr ing hernia, init blocked
49505	Prp i/hern init reduc >5 yr
49507	Prp i/hern init block >5 yr
49520	Rerepair ing hernia, reduce
49521	Rerepair ing hernia, blocked
49525	Repair ing hernia, sliding
49540	Repair lumbar hernia
49550	Rpr rem hernia, init, reduce
49553	Rpr fem hernia, init blocked
49555	Rerepair fem hernia, reduce
49557	Rerepair fem hernia, blocked
49560	Rpr ventral hern init, reduc
49561	Rpr ventral hern init, block
49565	Rerepair ventrl hern, reduce
49566	Rerepair ventrl hern, block
49568	Hernia repair w/mesh
49570	Rpr epigastric hern, reduce
49572	Rpr epigastric hern, blocked
49580	Rpr umbil hern, reduc < 5 yr
49582	Rpr umbil hern, block < 5 yr
49585	Rpr umbil hern, reduc > 5 yr
49587	Rpr umbil hern, block > 5 yr
49590	Repair spigelian hernia
49600	Repair umbilical lesion
49605	Repair umbilical lesion
49606	Repair umbilical lesion
49610	Repair umbilical lesion
49611	Repair umbilical lesion
49650	Laparo hernia repair initial
49651	Laparo hernia repair recur
49659	Laparo proc, hernia repair
49900	Repair of abdominal wall
49904	Omental flap, extra-abdom
49905	Omental flap, intra-abdom
49906	Free omental flap, microvasc
49999	Abdomen surgery procedure
50010	Exploration of kidney
50020	Renal abscess, open drain
50021	Renal abscess, percut drain
50040	Drainage of kidney
50045	Exploration of kidney
50060	Removal of kidney stone
50065	Incision of kidney
50070	Incision of kidney
50075	Removal of kidney stone
50080	Removal of kidney stone
50081	Removal of kidney stone
50100	Revise kidney blood vessels
50120	Exploration of kidney
50125	Explore and drain kidney
50130	Removal of kidney stone
50135	Exploration of kidney
50200	Biopsy of kidney
50205	Biopsy of kidney
50220	Remove kidney, open
50225	Removal kidney open, complex
50230	Removal kidney open, radical
50234	Removal of kidney & ureter
50236	Removal of kidney & ureter
50240	Partial removal of kidney
50250	Cryoablate renal mass open
50280	Removal of kidney lesion
50290	Removal of kidney lesion
50300	Remove cadaver donor kidney
50320	Remove kidney, living donor
50323	Prep cadaver renal allograft
50325	Prep donor renal graft
50327	Prep renal graft/venous
50328	Prep renal graft/arterial
50329	Prep renal graft/ureteral
50340	Removal of kidney
50360	Transplantation of kidney
50365	Transplantation of kidney
50370	Remove transplanted kidney
50380	Reimplantation of kidney
50382	Change ureter stent, percut
50384	Remove ureter stent, percut
50387	Change ext/int ureter stent
50389	Remove renal tube w/fluoro
50390	Drainage of kidney lesion
50391	Instll rx agnt into rnal tub
50392	Insert kidney drain
50393	Insert ureteral tube
50394	Injection for kidney x-ray
50395	Create passage to kidney
50396	Measure kidney pressure
50398	Change kidney tube
50400	Revision of kidney/ureter
50405	Revision of kidney/ureter
50500	Repair of kidney wound
50520	Close kidney-skin fistula
50525	Repair renal-abdomen fistula
50526	Repair renal-abdomen fistula
50540	Revision of horseshoe kidney
50541	Laparo ablate renal cyst
50542	Laparo ablate renal mass
50543	Laparo partial nephrectomy
50544	Laparoscopy, pyeloplasty
50545	Laparo radical nephrectomy
50546	Laparoscopic nephrectomy
50547	Laparo removal donor kidney
50548	Laparo remove w/ureter
50549	Laparoscope proc, renal
50551	Kidney endoscopy
50553	Kidney endoscopy
50555	Kidney endoscopy & biopsy
50557	Kidney endoscopy & treatment
50561	Kidney endoscopy & treatment
50562	Renal scope w/tumor resect
50570	Kidney endoscopy
50572	Kidney endoscopy
50574	Kidney endoscopy & biopsy
50575	Kidney endoscopy
50576	Kidney endoscopy & treatment
50580	Kidney endoscopy & treatment
50590	Fragmenting of kidney stone
50592	Perc rf ablate renal tumor
50600	Exploration of ureter
50605	Insert ureteral support
50610	Removal of ureter stone
50620	Removal of ureter stone
50630	Removal of ureter stone
50650	Removal of ureter
50660	Removal of ureter
50684	Injection for ureter x-ray
50686	Measure ureter pressure
50688	Change of ureter tube/stent
50690	Injection for ureter x-ray
50700	Revision of ureter
50715	Release of ureter
50722	Release of ureter
50725	Release/revise ureter
50727	Revise ureter
50728	Revise ureter
50740	Fusion of ureter & kidney
50750	Fusion of ureter & kidney
50760	Fusion of ureters
50770	Splicing of ureters
50780	Reimplant ureter in bladder
50782	Reimplant ureter in bladder
50783	Reimplant ureter in bladder
50785	Reimplant ureter in bladder
50800	Implant ureter in bowel
50810	Fusion of ureter & bowel
50815	Urine shunt to intestine
50820	Construct bowel bladder
50825	Construct bowel bladder
50830	Revise urine flow
50840	Replace ureter by bowel
50845	Appendico-vesicostomy
50860	Transplant ureter to skin
50900	Repair of ureter
50920	Closure ureter/skin fistula
50930	Closure ureter/bowel fistula
50940	Release of ureter
50945	Laparoscopy ureterolithotomy
50947	Laparo new ureter/bladder
50948	Laparo new ureter/bladder
50949	Laparoscope proc, ureter
50951	Endoscopy of ureter
50953	Endoscopy of ureter
50955	Ureter endoscopy & biopsy
50957	Ureter endoscopy & treatment
50961	Ureter endoscopy & treatment
50970	Ureter endoscopy
50972	Ureter endoscopy & catheter
50974	Ureter endoscopy & biopsy
50976	Ureter endoscopy & treatment
50980	Ureter endoscopy & treatment
51000	Drainage of bladder
51005	Drainage of bladder
51010	Drainage of bladder
51020	Incise & treat bladder
51030	Incise & treat bladder
51040	Incise & drain bladder
51045	Incise bladder/drain ureter
51050	Removal of bladder stone
51060	Removal of ureter stone
51065	Remove ureter calculus
51080	Drainage of bladder abscess
51500	Removal of bladder cyst
51520	Removal of bladder lesion
51525	Removal of bladder lesion
51530	Removal of bladder lesion
51535	Repair of ureter lesion
51550	Partial removal of bladder
51555	Partial removal of bladder
51565	Revise bladder & ureter(s)
51570	Removal of bladder
51575	Removal of bladder & nodes
51580	Remove bladder/revise tract
51585	Removal of bladder & nodes
51590	Remove bladder/revise tract
51595	Remove bladder/revise tract
51596	Remove bladder/create pouch
51597	Removal of pelvic structures
51600	Injection for bladder x-ray
51605	Preparation for bladder xray
51610	Injection for bladder x-ray
51700	Irrigation of bladder
51701	Insert bladder catheter
51702	Insert temp bladder cath
51703	Insert bladder cath, complex
51705	Change of bladder tube
51710	Change of bladder tube
51715	Endoscopic injection/implant
51720	Treatment of bladder lesion
51725	Simple cystometrogram
51725	Simple cystometrogram
51725	Simple cystometrogram
51726	Complex cystometrogram
51726	Complex cystometrogram
51726	Complex cystometrogram
51736	Urine flow measurement
51736	Urine flow measurement
51736	Urine flow measurement
51741	Electro-uroflowmetry, first
51741	Electro-uroflowmetry, first
51741	Electro-uroflowmetry, first
51772	Urethra pressure profile
51772	Urethra pressure profile
51772	Urethra pressure profile
51784	Anal/urinary muscle study
51784	Anal/urinary muscle study
51784	Anal/urinary muscle study
51785	Anal/urinary muscle study
51785	Anal/urinary muscle study
51785	Anal/urinary muscle study
51792	Urinary reflex study
51792	Urinary reflex study
51792	Urinary reflex study
51795	Urine voiding pressure study
51795	Urine voiding pressure study
51795	Urine voiding pressure study
51797	Intraabdominal pressure test
51797	Intraabdominal pressure test
51797	Intraabdominal pressure test
51798	Us urine capacity measure
51800	Revision of bladder/urethra
51820	Revision of urinary tract
51840	Attach bladder/urethra
51841	Attach bladder/urethra
51845	Repair bladder neck
51860	Repair of bladder wound
51865	Repair of bladder wound
51880	Repair of bladder opening
51900	Repair bladder/vagina lesion
51920	Close bladder-uterus fistula
51925	Hysterectomy/bladder repair
51940	Correction of bladder defect
51960	Revision of bladder & bowel
51980	Construct bladder opening
51990	Laparo urethral suspension
51992	Laparo sling operation
51999	Laparoscope proc, bladder
52000	Cystoscopy
52001	Cystoscopy, removal of clots
52005	Cystoscopy & ureter catheter
52007	Cystoscopy and biopsy
52010	Cystoscopy & duct catheter
52204	Cystoscopy
52214	Cystoscopy and treatment
52224	Cystoscopy and treatment
52234	Cystoscopy and treatment
52235	Cystoscopy and treatment
52240	Cystoscopy and treatment
52250	Cystoscopy and radiotracer
52260	Cystoscopy and treatment
52265	Cystoscopy and treatment
52270	Cystoscopy & revise urethra
52275	Cystoscopy & revise urethra
52276	Cystoscopy and treatment
52277	Cystoscopy and treatment
52281	Cystoscopy and treatment
52282	Cystoscopy, implant stent
52283	Cystoscopy and treatment
52285	Cystoscopy and treatment
52290	Cystoscopy and treatment
52300	Cystoscopy and treatment
52301	Cystoscopy and treatment
52305	Cystoscopy and treatment
52310	Cystoscopy and treatment
52315	Cystoscopy and treatment
52317	Remove bladder stone
52318	Remove bladder stone
52320	Cystoscopy and treatment
52325	Cystoscopy, stone removal
52327	Cystoscopy, inject material
52330	Cystoscopy and treatment
52332	Cystoscopy and treatment
52334	Create passage to kidney
52341	Cysto w/ureter stricture tx
52342	Cysto w/up stricture tx
52343	Cysto w/renal stricture tx
52344	Cysto/uretero, stricture tx
52345	Cysto/uretero w/up stricture
52346	Cystouretero w/renal strict
52351	Cystouretero & or pyeloscope
52352	Cystouretero w/stone remove
52353	Cystouretero w/lithotripsy
52354	Cystouretero w/biopsy
52355	Cystouretero w/excise tumor
52400	Cystouretero w/congen repr
52402	Cystourethro cut ejacul duct
52450	Incision of prostate
52500	Revision of bladder neck
52510	Dilation prostatic urethra
52601	Prostatectomy (TURP)
52606	Control postop bleeding
52612	Prostatectomy, first stage
52614	Prostatectomy, second stage
52620	Remove residual prostate
52630	Remove prostate regrowth
52640	Relieve bladder contracture
52647	Laser surgery of prostate
52648	Laser surgery of prostate
52700	Drainage of prostate abscess
53000	Incision of urethra
53010	Incision of urethra
53020	Incision of urethra
53025	Incision of urethra
53040	Drainage of urethra abscess
53060	Drainage of urethra abscess
53080	Drainage of urinary leakage
53085	Drainage of urinary leakage
53200	Biopsy of urethra
53210	Removal of urethra
53215	Removal of urethra
53220	Treatment of urethra lesion
